IG,price,crime,rooms,sales,driveshop,type
S02000260,112.25,390,3,68,1.2,flat
S02000261,156.875,116,5,26,2,semi
S02000262,178.111,196,5,34,1.7,semi
S02000263,249.725,146,5,80,1.5,detached
S02000264,174.5,288,4,60,0.8,semi
S02000265,163.521,342,4,24,2.5,semi
S02000266,280,141,5,39,1.4,detached
S02000267,175,88,5,31,3.15,semi
S02000268,182.5,231,5,55,1.1,semi
S02000269,322.78,123,5,49,0.8,detached
S02000270,180.69,198,5,73,2.1,detached
S02000271,286.25,261,5,52,1.8,detached
S02000272,302,284,5,57,1.5,detached
S02000273,285,122,5,41,1.25,semi
S02000274,145,232,5,43,2.55,semi
S02000275,110,422,4,55,1.35,semi
S02000276,220,122,5,56,2.8,detached
S02000277,93.75,827,3,42,1.7,flat
S02000278,195,125,5,29,2.5,detached
S02000279,177.5,261,4,70,1.1,detached
S02000280,109.25,441,4,31,2.55,terrace
S02000281,107,614,4,85,0.7,flat
S02000282,217.5,174,4,50,0.95,semi
S02000283,118.75,348,4,18,3.8,terrace
S02000284,155,403,4,33,1.25,semi
S02000285,235,221,5,39,2.05,detached
S02000286,170.389,208,4,58,3,detached
S02000287,165,422,4,95,4.8,terrace
S02000310,187,86,4,49,1,semi
S02000311,279.973,148,5,128,1,detached
S02000312,185.75,167,4,54,1.05,detached
S02000313,193.658,196,4,96,1.3,detached
S02000314,119,288,4,53,1.2,semi
S02000316,372.75,151,6,58,0.8,detached
S02000317,219.95,281,5,117,0.65,semi
S02000318,215,248,5,75,1.7,detached
S02000319,219.219,128,5,45,1.4,semi
S02000320,160,268,3,49,1.4,terrace
S02000321,140,388,4,64,0.9,flat
S02000322,87,451,4,47,1.7,semi
S02000323,344.5,107,5,46,1,detached
S02000324,150,385,4,51,0.8,semi
S02000325,250,221,5,56,1.2,terrace
S02000326,204.5,133,4,72,0.9,semi
S02000327,162.75,379,4,66,0.5,flat
S02000328,86,913,3,65,1.05,flat
S02000329,149,146,4,48,1.4,semi
S02000584,155.5,697,4,79,1.85,flat
S02000585,78,694,3,19,1.3,flat
S02000586,195,294,4,123,2.45,detached
S02000587,115.75,480,3,46,1.4,flat
S02000588,110,927,3,31,1.8,flat
S02000589,90,614,4,59,0.6,flat
S02000590,131.5,568,3,40,2.1,semi
S02000591,167.5,370,4,33,1.35,semi
S02000592,91,763,3,27,1,flat
S02000593,132.5,220,4,115,0.75,flat
S02000594,90,327,4,47,1.15,flat
S02000595,94.15,540,4,86,0.55,flat
S02000596,195,303,4,81,0.8,flat
S02000597,61,846,3,50,1.4,flat
S02000598,145.75,275,4,58,1.15,flat
S02000599,104,292,3,149,1,flat
S02000600,97,319,4,69,1,flat
S02000601,85,579,4,11,1.1,flat
S02000602,115,658,3,77,0.65,flat
S02000603,117.5,609,3,123,0.3,flat
S02000604,131,359,3,149,0.85,flat
S02000605,123.45,420,3,108,0.35,flat
S02000606,95.595,596,4,25,1,flat
S02000607,130,687,3,152,0.8,flat
S02000608,149.5,285,5,104,1.5,semi
S02000609,128.835,676,3,114,0.45,flat
S02000610,93,626,3,68,1.1,flat
S02000611,128,312,4,49,1.6,semi
S02000612,240.5,578,5,116,1.1,flat
S02000613,102.379,245,4,30,2,terrace
S02000614,118.5,948,3,177,0.3,flat
S02000615,95,656,3,53,0.9,flat
S02000616,91,829,3,120,0.6,flat
S02000617,91.611,667,4,36,1.5,flat
S02000618,151.5,412,3,124,2.6,flat
S02000619,72,747,3,23,0.9,flat
S02000620,113.07,829,3,136,1.5,flat
S02000621,124,325,4,73,1.8,flat
S02000622,146,594,4,135,0.4,flat
S02000623,175,186,4,41,1.8,detached
S02000624,162.75,605,4,90,0.8,flat
S02000625,95.5,1047,4,53,1.05,flat
S02000626,95,239,4,29,2.5,terrace
S02000627,96.5,474,4,75,0.6,flat
S02000628,131.125,692,3,64,0.65,flat
S02000629,82.998,797,3,52,1.1,flat
S02000630,87.25,775,3,84,0.8,flat
S02000631,95,683,3,57,0.9,flat
S02000632,85,718,3,79,0.6,flat
S02000633,70,1994,3,47,0.5,flat
S02000634,121.55,1872,3,77,0.8,flat
S02000635,115.5,1279,3,169,0.8,flat
S02000636,140,316,4,43,2.1,semi
S02000637,91,456,3,40,0.8,flat
S02000638,90.25,521,3,50,0.7,flat
S02000639,91,333,4,69,1.1,flat
S02000640,85,668,3,45,1.05,flat
S02000641,92.5,618,4,50,1.4,flat
S02000642,115,577,3,88,0.7,flat
S02000643,122.5,830,3,109,1.45,flat
S02000644,84.75,1213,3,65,0.45,flat
S02000645,137,234,4,56,2.3,semi
S02000646,88,1026,3,37,2,flat
S02000647,131.75,682,3,120,0.6,flat
S02000648,70,913,3,79,0.95,flat
S02000649,90.25,1109,3,47,0.9,flat
S02000650,120,570,3,108,0.3,flat
S02000651,153.5,576,3,135,0.65,flat
S02000652,104,1399,3,7,1.15,flat
S02000653,64,584,3,53,2.25,flat
S02000654,97.225,693,3,54,1.9,flat
S02000655,139.775,8009,3,142,1,flat
S02000656,66.5,1548,3,31,0.85,flat
S02000657,96,455,3,48,1.8,flat
S02000658,140,1830,3,229,1.1,flat
S02000659,117.725,559,3,168,0.6,flat
S02000660,108.5,912,3,69,1.4,flat
S02000661,141.25,772,3,158,0.9,flat
S02000662,60.5,1155,3,4,1.45,flat
S02000663,116.25,819,3,72,1.6,flat
S02000664,167.5,765,3,175,0.4,flat
S02000665,204.225,643,4,140,0.5,flat
S02000666,95,687,3,22,0.85,flat
S02000667,100.5,907,3,70,1.9,flat
S02000668,155,487,3,168,0.5,flat
S02000669,124,755,3,49,0.35,flat
S02000670,123.725,554,3,36,0.6,flat
S02000671,142,408,3,79,0.55,flat
S02000672,230.564,711,4,122,0.5,flat
S02000673,124.5,825,3,69,1.55,flat
S02000674,151.5,893,4,138,0.9,flat
S02000675,125,565,3,97,0.8,flat
S02000676,122.995,1014,3,55,0.9,flat
S02000677,200,292,4,103,0.35,flat
S02000678,120.495,614,3,68,1.6,flat
S02000679,191.25,320,4,94,1.2,flat
S02000680,91.5,439,3,51,1.15,flat
S02000681,245,409,4,136,0.6,flat
S02000682,190,328,5,44,1.6,terrace
S02000683,217,453,4,101,1,flat
S02000684,95,910,3,27,0.9,flat
S02000685,116.25,1503,3,42,0.85,flat
S02000686,245,389,3,57,1.2,flat
S02000687,100,803,3,18,1.75,flat
S02000688,140,580,3,119,0.75,flat
S02000689,240.25,304,4,144,1,flat
S02000690,235,336,4,108,1.25,flat
S02000691,90,779,3,53,0.9,flat
S02000692,148.25,1010,3,106,1.05,flat
S02000693,80,795,3,13,0.6,flat
S02000694,78,586,3,57,1.1,flat
S02000695,189,217,4,165,0.9,semi
S02000696,97,730,3,81,1.3,flat
S02000697,95,663,4,31,1.7,flat
S02000698,141.25,681,3,52,1.3,flat
S02000699,120,666,3,45,0.5,flat
S02000700,92.498,1411,3,22,1.2,flat
S02000701,90,748,3,55,1.9,flat
S02000702,130,434,3,103,0.6,flat
S02000703,122,361,3,27,1.5,flat
S02000704,114,686,3,47,1.5,flat
S02000705,144.5,313,3,202,1,flat
S02000706,117,510,3,41,1.4,flat
S02000707,139.995,271,4,51,1.5,terrace
S02000708,93,705,3,17,1.9,flat
S02000709,115,453,3,74,1.9,flat
S02000710,93,632,4,51,1.95,flat
S02000711,146,250,4,44,1.4,terrace
S02000712,69.25,767,3,24,1.65,flat
S02000713,150,416,3,67,2.65,flat
S02000714,88,865,3,26,0.7,flat
S02000715,105,1048,3,13,1.65,flat
S02000716,98,1065,3,11,1,flat
S02000771,186,163,5,51,0.5,detached
S02000772,168,142,5,51,2.05,detached
S02000773,182,248,5,141,8.5,detached
S02000774,83,563,4,33,1,terrace
S02000775,50,736,4,98,1.4,flat
S02000776,135.998,509,4,116,2.9,flat
S02000777,123.75,246,4,58,4.55,detached
