DZ,HB,Easting,Northing,urban,JSA2011,workpop2011
S01000001,Grampian,382990.5457,799562.1558,3,5,616
S01000002,Grampian,394819.9392,800451.7559,1,3,433
S01000003,Grampian,394848.6262,800789.8878,1,5,615
S01000004,Grampian,394354.1621,800805.5208,1,5,438
S01000005,Grampian,383550.2474,800851.7747,3,5,427
S01000006,Grampian,384158.3483,800891.1622,3,5,341
S01000007,Grampian,384538.0989,800934.465,3,3,427
S01000008,Grampian,383878.3285,800987.7061,3,8,335
S01000009,Grampian,395151.5931,801038.2801,1,10,420
S01000010,Grampian,394746.9836,801120.3614,1,5,366
S01000011,Grampian,385337.0027,801168.7307,3,3,663
S01000012,Grampian,393829.0202,801292.997,1,5,895
S01000013,Grampian,383521.3319,801336.0406,3,5,479
S01000014,Grampian,395586.2095,801414.7358,1,5,608
S01000015,Grampian,394655.9247,801523.3585,1,3,508
S01000016,Grampian,386688.0704,801586.297,3,0,511
S01000017,Grampian,395034.5348,801598.7159,1,8,565
S01000018,Grampian,394789.3046,801767.6307,1,5,332
S01000019,Grampian,386302.7,801942.6899,3,0,358
S01000020,Grampian,388679.8357,802194.1794,1,3,638
S01000021,Grampian,393159.7297,802383.8199,1,13,569
S01000022,Grampian,387508.745,802544.5995,1,0,461
S01000023,Grampian,384753.6214,802711.9967,3,0,491
S01000024,Grampian,381061.3325,802815.4471,5,0,335
S01000025,Grampian,388147.6043,802858.8644,1,5,640
S01000026,Grampian,393028.4703,802890.6117,1,25,510
S01000027,Grampian,388654.8086,802904.6357,1,0,448
S01000028,Grampian,393361.4873,802907.4954,1,18,552
S01000029,Grampian,387610.5957,802995.2655,1,3,676
S01000030,Grampian,393679.4741,803013.5244,1,10,279
S01000031,Grampian,389556.2785,803101.2017,1,3,585
S01000032,Grampian,394137.837,803159.4706,1,13,562
S01000033,Grampian,393571.7878,803240.7582,1,20,391
S01000034,Grampian,390259.8699,803254.2585,1,3,815
S01000035,Grampian,391798.1249,803278.3973,1,10,678
S01000036,Grampian,391289.8027,803284.0789,1,15,449
S01000037,Grampian,395515.2168,803349.609,1,13,419
S01000038,Grampian,393383.864,803419.1594,1,10,487
S01000039,Grampian,391291.8001,803460.0519,1,15,583
S01000040,Grampian,393979.4765,803535.3502,1,15,507
S01000041,Grampian,393130.0903,803563.3235,1,8,424
S01000042,Grampian,392289.1114,803597.8098,1,15,556
S01000043,Grampian,392540.786,803632.1817,1,13,517
S01000044,Grampian,391986.6048,803641.5291,1,23,509
S01000045,Grampian,391311.81,803745.214,1,3,331
S01000046,Grampian,391019.4565,803990.3792,1,5,393
S01000047,Grampian,392798.5772,804122.8987,1,10,512
S01000048,Grampian,391708.0235,804153.4381,1,0,611
S01000049,Grampian,392109.3263,804192.6481,1,5,412
S01000050,Grampian,392536.1922,804294.0157,1,0,387
S01000051,Grampian,390617.1129,804301.0317,1,0,414
S01000052,Grampian,394792.2068,804307.0638,1,23,369
S01000053,Grampian,393318.0471,804347.033,1,5,679
S01000054,Grampian,391284.3126,804420.9903,1,0,412
S01000055,Grampian,394840.3601,804508.2422,1,35,503
S01000056,Grampian,385686.4314,804520.6437,1,3,664
S01000057,Grampian,395287.5524,804560.7578,1,28,419
S01000058,Grampian,392143.7899,804576.5276,1,5,455
S01000059,Grampian,393960.8633,804633.3325,1,3,621
S01000060,Grampian,395752.0999,804656.9526,1,30,331
S01000061,Grampian,390647.4551,804682.1218,1,0,586
S01000062,Grampian,392900.9564,804703.4649,1,10,722
S01000063,Grampian,392560.7784,804706.3838,1,5,561
S01000064,Grampian,394740.0111,804729.9765,1,8,434
S01000065,Grampian,393279.4268,804736.0226,1,18,639
S01000066,Grampian,394494.7262,804752.8253,1,30,670
S01000067,Grampian,391657.1687,804797.4194,1,3,612
S01000068,Grampian,393638.8281,804844.0571,1,0,495
S01000069,Grampian,394968.3256,804851.6319,1,28,457
S01000070,Grampian,395450.2077,804889.9916,1,15,377
S01000071,Grampian,395259.8425,804892.3991,1,40,512
S01000072,Grampian,388646.5241,804928.2271,1,15,464
S01000073,Grampian,391182.895,804935.1285,1,0,363
S01000074,Grampian,395916.4218,804941.8435,1,43,528
S01000075,Grampian,393318.6931,804980.5831,1,5,364
S01000076,Grampian,390225.1432,805066.4828,1,3,400
S01000077,Grampian,392315.5345,805067.3654,1,8,615
S01000078,Grampian,394686.6788,805114.3107,1,45,711
S01000079,Grampian,394080.5155,805128.198,1,8,1020
S01000080,Grampian,392996.8818,805138.6097,1,8,583
S01000081,Grampian,391918.5493,805151.817,1,5,593
S01000082,Grampian,396319.891,805163.6854,1,25,641
S01000083,Grampian,392633.3141,805207.9704,1,5,523
S01000084,Grampian,394936.1825,805231.0368,1,38,596
S01000085,Grampian,393233.091,805245.8276,1,10,535
S01000086,Grampian,393715.0258,805264.1762,1,5,603
S01000087,Grampian,391215.1816,805305.644,1,5,786
S01000088,Grampian,393454.3546,805311.0372,1,8,671
S01000089,Grampian,390518.6278,805312.7407,1,0,527
S01000090,Grampian,392346.2572,805439.9107,1,5,561
S01000091,Grampian,392852.7376,805467.4199,1,15,897
S01000092,Grampian,393067.8711,805488.6728,1,5,657
S01000093,Grampian,393931.0642,805499.0533,1,23,586
S01000094,Grampian,393412.0368,805533.3282,1,10,595
S01000095,Grampian,392694.5362,805582.8447,1,5,646
S01000096,Grampian,389823.7834,805698.8535,1,15,388
S01000097,Grampian,392001.0981,805718.0761,1,3,852
S01000098,Grampian,394476.3872,805720.7782,1,45,1032
S01000099,Grampian,390938.9978,805724.8069,1,3,525
S01000100,Grampian,393606.6527,805746.4202,1,35,753
S01000101,Grampian,392810.2249,805886.757,1,5,662
S01000102,Grampian,393427.6482,806004.4906,1,30,604
S01000103,Grampian,393128.5432,806040.2922,1,0,497
S01000104,Grampian,391497.4074,806054.0049,1,0,557
S01000105,Grampian,390127.7998,806058.0669,1,5,517
S01000106,Grampian,392097.8552,806108.3343,1,3,535
S01000107,Grampian,394341.5625,806211.5537,1,30,992
S01000108,Grampian,395158.3264,806240.5265,1,15,504
S01000109,Grampian,393809.5768,806255.3383,1,10,865
S01000110,Grampian,390682.0876,806261.3684,1,8,397
S01000111,Grampian,392662.1387,806272.887,1,8,501
S01000112,Grampian,393238.2063,806306.9203,1,18,765
S01000113,Grampian,392406.3627,806354.1037,1,0,407
S01000114,Grampian,389752.6234,806395.6258,1,15,531
S01000115,Grampian,390339.4281,806400.2895,1,20,485
S01000116,Grampian,392969.7945,806420.4487,1,13,995
S01000117,Grampian,392019.3019,806428.8128,1,5,625
S01000118,Grampian,390916.6218,806512.1489,1,10,394
S01000119,Grampian,393237.533,806534.8268,1,25,626
S01000120,Grampian,392774.087,806546.6129,1,8,370
S01000121,Grampian,391458.9429,806562.0339,1,8,420
S01000122,Grampian,389378.791,806590.3583,1,13,439
S01000123,Grampian,387770.1,806601.2669,3,3,413
S01000124,Grampian,393489.0602,806612.4135,1,18,1113
S01000125,Grampian,394169.6442,806616.6626,1,30,741
S01000126,Grampian,394515.0643,806656.5429,1,28,673
S01000127,Grampian,391992.5271,806672.1568,1,0,481
S01000128,Grampian,393711.3054,806684.925,1,25,1831
S01000129,Grampian,393996.373,806689.6462,1,5,789
S01000130,Grampian,395112.1647,806722.6747,1,25,1118
S01000131,Grampian,392673.4417,806746.4039,1,5,425
S01000132,Grampian,393075.5141,806774.5066,1,10,562
S01000133,Grampian,389464.2148,806782.2512,1,15,491
S01000134,Grampian,389992.8169,806873.1384,1,23,429
S01000135,Grampian,393859.8634,806955.4199,1,33,530
S01000136,Grampian,390449.4384,806963.189,1,18,394
S01000137,Grampian,393284.2631,806978.8184,1,15,675
S01000138,Grampian,394246.0616,807017.3614,1,13,1107
S01000139,Grampian,389662.672,807021.6402,1,10,420
S01000140,Grampian,389063.6257,807041.7954,1,8,446
S01000141,Grampian,391902.7023,807054.7263,1,5,444
S01000142,Grampian,390917.2774,807082.3767,1,28,462
S01000143,Grampian,386602.0742,807127.6468,3,0,416
S01000144,Grampian,394471.1903,807144.0929,1,10,640
S01000145,Grampian,389292.2897,807183.9581,1,20,455
S01000146,Grampian,393456.1127,807191.1501,1,53,1235
S01000147,Grampian,395032.3948,807196.1945,1,25,960
S01000148,Grampian,390032.2882,807197.5203,1,20,360
S01000149,Grampian,393760.9646,807217.1374,1,30,965
S01000150,Grampian,390644.0434,807219.2295,1,10,387
S01000151,Grampian,391198.4618,807250.3156,1,15,397
S01000152,Grampian,392845.3217,807255.604,1,10,876
S01000153,Grampian,394635.6987,807356.0521,1,20,712
S01000154,Grampian,389673.1082,807364.8134,1,8,304
S01000155,Grampian,390600.9921,807376.5197,1,10,424
S01000156,Grampian,393813.0973,807462.3036,1,35,894
S01000157,Grampian,391411.0849,807479.4725,1,15,409
S01000158,Grampian,391649.736,807493.0406,1,18,532
S01000159,Grampian,386376.3754,807510.2,3,0,687
S01000160,Grampian,390468.5961,807566.534,1,15,439
S01000161,Grampian,393431.8082,807588.0578,1,10,846
S01000162,Grampian,392245.8134,807608.3229,1,20,559
S01000163,Grampian,389505.7639,807631.2091,1,13,620
S01000164,Grampian,394649.9531,807645.6891,1,10,660
S01000165,Grampian,392659.6209,807654.4034,1,28,579
S01000166,Grampian,394169.3257,807702.0859,1,10,1198
S01000167,Grampian,391060.832,807714.2708,1,8,391
S01000168,Grampian,390678.1858,807748.371,1,15,561
S01000169,Grampian,391874.2666,807795.9586,1,5,410
S01000170,Grampian,393779.5497,807796.0381,1,10,1006
S01000171,Grampian,387335.6699,807797.6574,3,3,686
S01000172,Grampian,392018.258,807836.4606,1,5,297
S01000173,Grampian,391597.9578,807859.924,1,15,458
S01000174,Grampian,386800.5521,807860.3806,3,0,634
S01000175,Grampian,393102.3574,807894.4094,1,20,439
S01000176,Grampian,394479.1073,807924.1574,1,5,657
S01000177,Grampian,392896.2491,807942.1955,1,5,387
S01000178,Grampian,390504.5491,808027.0581,1,13,487
S01000179,Grampian,395038.8833,808049.5852,1,40,505
S01000180,Grampian,390277.681,808062.1038,1,13,425
S01000181,Grampian,391226.9009,808074.8614,1,15,331
S01000182,Grampian,389784.2389,808096.186,1,20,518
S01000183,Grampian,393449.9706,808123.8326,1,30,923
S01000184,Grampian,392771.5672,808126.152,1,8,484
S01000185,Grampian,394575.5543,808129.785,1,33,655
S01000186,Grampian,392093.7711,808135.8938,1,5,427
S01000187,Grampian,391448.787,808169.4206,1,13,408
S01000188,Grampian,394158.4711,808215.8129,1,20,999
S01000189,Grampian,390880.0989,808224.3484,1,20,340
S01000190,Grampian,390046.0118,808225.7162,1,25,500
S01000191,Grampian,392469.9838,808263.8221,1,8,813
S01000192,Grampian,394170.4904,808493.7491,1,25,579
S01000193,Grampian,390162.6732,808508.0874,1,23,431
S01000194,Grampian,392969.853,808514.4267,1,43,590
S01000195,Grampian,393345.0568,808523.6151,1,43,545
S01000196,Grampian,390621.2723,808537.7936,1,40,550
S01000197,Grampian,389810.0159,808540.3424,1,15,350
S01000198,Grampian,391478.8758,808557.6044,1,38,452
S01000199,Grampian,392715.7982,808600.2792,1,50,543
S01000200,Grampian,391977.1066,808645.2638,1,13,487
S01000201,Grampian,391650.1361,808715.0499,1,15,395
S01000202,Grampian,392322.6184,808747.0234,1,13,610
S01000203,Grampian,393070.8074,808789.1021,1,43,461
S01000204,Grampian,389891.6923,808800.698,1,15,354
S01000205,Grampian,394051.4343,808802.2783,1,18,945
S01000206,Grampian,390136.8414,808823.9503,1,10,414
S01000207,Grampian,394977.7172,808859.3073,1,40,549
S01000208,Grampian,390798.3258,808870.6214,1,38,520
S01000209,Grampian,391170.9028,808877.802,1,58,720
S01000210,Grampian,392577.2586,808885.2053,1,43,517
S01000211,Grampian,393357.968,808889.3208,1,35,518
S01000212,Grampian,390460.1293,808971.5975,1,18,416
S01000213,Grampian,391876.4434,809015.2636,1,33,572
S01000214,Grampian,388587.4907,809025.3369,1,5,236
S01000215,Grampian,385959.0511,809100.4541,1,5,624
S01000216,Grampian,392500.17,809115.7914,1,5,416
S01000217,Grampian,392958.8678,809123.4744,1,38,467
